+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                          ;
+----------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy      ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+----------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; U68            ; 142   ; 25             ; 0            ; 25             ; 141    ; 25              ; 25            ; 25              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U67            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U66            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U65            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U64            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U63            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U62            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U61            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U60            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U59            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U58            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U57            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U56            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U55            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U54            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U53            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U52            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U51            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U50            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U49            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U48            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U47            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U46            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U45            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U44            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U43            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U42            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U41            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U40            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U39            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U38            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U37            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U36            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U35            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U34            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U33            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U32            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U31            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U30            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U29            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U28            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U27            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U26            ; 142   ; 24             ; 0            ; 24             ; 141    ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
